City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,rodeo,38.033,-122.2669,291.17,69,40,1.79,US,1680979054
162,igrim,63.1906,64.4162,271.51,98,100,1.18,RU,1680979055
163,quatre cocos,-20.2078,57.7625,297.09,81,100,4.32,MU,1680978933
164,batagay,67.6333,134.6333,255.73,94,100,1.6,RU,1680978960
165,angoche,-16.2325,39.9086,299.05,82,18,2.18,MZ,1680979055
166,oktyabrskiy,54.4815,53.471,276.0,48,14,0.79,RU,1680979055
167,puerto ayora,-0.7393,-90.3518,303.13,84,67,2.68,EC,1680978856
168,naze,28.3667,129.4833,286.66,62,0,5.92,JP,1680978919
169,katangli,51.7102,143.2326,268.24,80,100,6.34,RU,1680978955
170,hithadhoo,-0.6,73.0833,301.0,69,41,0.79,MV,1680978851
171,maceio,-9.6658,-35.7353,298.84,94,100,4.12,BR,1680978810
172,teguise,29.0605,-13.564,291.27,56,20,6.17,ES,1680979056
173,leningradskiy,69.3833,178.4167,250.35,89,99,5.65,RU,1680978947
174,hamilton,39.1834,-84.5333,287.4,35,0,7.72,US,1680978657
175,buraydah,26.326,43.975,298.4,25,5,3.68,SA,1680979057
176,gomel,52.4345,30.9754,285.14,58,0,3.0,BY,1680978842
177,grenaa,56.4158,10.8783,281.27,85,26,3.72,DK,1680979057
178,necochea,-38.5473,-58.7368,299.49,40,86,3.49,AR,1680978847
179,richards bay,-28.783,32.0377,295.38,91,28,0.91,ZA,1680978881
180,iguape,-24.7081,-47.5553,295.25,91,100,1.83,BR,1680979057
181,axim,4.8699,-2.2405,300.81,81,20,5.15,GH,1680979058
182,tuatapere,-46.1333,167.6833,279.81,92,55,2.0,NZ,1680978963
183,iqaluit,63.7506,-68.5145,257.0,66,40,9.77,CA,1680978901
184,berlevag,70.8578,29.0864,274.15,80,100,11.32,NO,1680978959
185,cayenne,4.9333,-52.3333,303.17,58,75,4.12,GF,1680978708
186,sambava,-14.2667,50.1667,298.1,88,67,2.84,MG,1680978991
187,koboko,3.4136,30.9599,293.8,60,15,0.8,UG,1680979059
188,vostok,46.4856,135.8833,266.9,68,2,1.49,RU,1680978894
189,bulgan,48.8125,103.5347,277.47,52,100,2.15,MN,1680978960
190,huicungo,-7.2833,-76.8,297.29,88,100,1.54,PE,1680979059
191,coquimbo,-29.9533,-71.3436,291.0,77,100,2.57,CL,1680978748
192,karlshamn,56.1706,14.8619,281.42,68,25,4.05,SE,1680979060
193,shushenskoye,53.325,91.9356,268.42,69,33,9.84,RU,1680979060
194,grand gaube,-20.0064,57.6608,297.25,77,100,2.24,MU,1680978867
195,zhangjiakou,40.81,114.8794,280.69,40,0,0.84,CN,1680979060
196,hami,42.8,93.45,284.41,32,0,3.07,CN,1680978912
197,masterton,-40.9597,175.6575,284.48,89,100,1.11,NZ,1680979060
198,tommot,58.9564,126.2925,264.1,94,100,3.91,RU,1680978903
199,zdvinsk,54.7021,78.661,270.11,69,99,6.88,RU,1680979061
200,bac lieu,9.285,105.7244,300.72,75,24,5.42,VN,1680979061
201,northam,51.0333,-4.2167,284.05,70,100,6.13,GB,1680978952
202,wagar,16.1525,36.2032,304.45,36,29,6.27,SD,1680979061
203,snezhnogorsk,69.1933,33.2531,275.03,90,100,6.13,RU,1680979061
204,mareeba,-17.0,145.4333,297.55,92,100,0.55,AU,1680979062
205,alice springs,-23.7,133.8833,288.27,74,1,0.0,AU,1680979062
206,poykovskiy,61.2333,73.3333,258.25,60,0,4.0,RU,1680979062
207,cherskiy,68.75,161.3,244.43,100,100,1.2,RU,1680978882
208,pacific grove,36.6177,-121.9166,290.38,82,75,2.57,US,1680978925
209,wladyslawowo,54.7909,18.4009,284.01,94,100,2.94,PL,1680979062
210,mount gambier,-37.8333,140.7667,284.83,69,100,4.36,AU,1680978839
211,terenos,-20.4422,-54.8603,299.99,73,75,3.6,BR,1680979063
212,tasiilaq,65.6145,-37.6368,273.77,96,100,12.26,GL,1680978856
213,sioux lookout,50.1001,-91.917,279.19,33,0,3.6,CA,1680979063
214,palatka,29.6486,-81.6376,303.21,42,99,0.45,US,1680979063
215,konanur,12.6264,76.0542,295.86,54,0,0.49,IN,1680979063
216,marystown,47.1666,-55.1483,273.07,100,64,6.26,CA,1680978840
217,ribeira grande,38.5167,-28.7,289.37,63,75,7.2,PT,1680978863
218,inirida,3.8653,-67.9239,297.17,92,100,0.58,CO,1680979064
219,saint-louis,16.3333,-15.0,308.95,18,100,1.43,SN,1680979064
220,tokur,53.1333,132.9,263.48,97,80,1.33,RU,1680979064
221,riohacha,11.5444,-72.9072,303.21,66,40,5.66,CO,1680979064
222,tucumcari,35.1717,-103.725,294.79,24,0,5.14,US,1680979064
223,butaritari,3.0707,172.7902,300.4,83,70,7.53,KI,1680978883
224,saldanha,-33.0117,17.9442,287.18,70,12,7.67,ZA,1680978865
225,saint-pierre,-21.3393,55.4781,298.97,78,100,1.54,RE,1680979065
226,portland,45.5234,-122.6762,285.93,75,100,4.63,US,1680978836
227,rio grande,-32.035,-52.0986,299.21,60,24,4.79,BR,1680978898
228,bilma,18.6853,12.9164,306.4,8,2,3.61,NE,1680979066
229,dergachi,51.2328,48.7659,281.09,49,100,3.83,RU,1680979066
230,basco,20.4487,121.9702,295.67,75,100,11.12,PH,1680979066
231,severo-kurilsk,50.6789,156.125,275.04,99,100,3.03,RU,1680979066
232,meru,0.0463,37.6559,288.98,89,36,1.71,KE,1680979066
233,almaznyy,48.0448,40.045,282.3,64,100,5.17,RU,1680978967
234,olonets,60.9847,32.9698,273.35,99,74,1.6,RU,1680979067
235,kloulklubed,7.0419,134.2556,297.43,82,88,7.13,PW,1680978861
236,lebu,-37.6167,-73.65,289.39,61,93,4.83,CL,1680978845
237,yangambi,0.8102,24.4336,295.41,95,84,0.87,CD,1680979067
238,ushtobe,45.2514,77.9838,281.38,60,100,5.94,KZ,1680979067
239,bethlehem,-1.4558,-48.5044,302.17,74,75,3.09,BR,1680979068
240,adrar,20.5022,-10.0711,302.1,14,100,4.23,MR,1680979068
